ICD9CM,ICD10CM,FLAG
016.40,A18.15,10000
016.41,A18.15,10000
016.42,A18.15,10000
016.43,A18.15,10000
016.44,A18.15,10000
016.45,A18.15,10000
016.46,A18.15,10000
016.50,A18.14,10000
016.50,A18.15,10000
016.51,A18.14,10000
016.51,A18.15,10000
016.52,A18.14,10000
016.52,A18.15,10000
016.53,A18.14,10000
016.53,A18.15,10000
016.54,A18.14,10000
016.54,A18.15,10000
016.55,A18.14,10000
016.55,A18.15,10000
016.56,A18.14,10000
016.56,A18.15,10000
016.60,A18.17,10000
016.61,A18.17,10000
016.62,A18.17,10000
016.63,A18.17,10000
016.64,A18.17,10000
016.65,A18.17,10000
016.66,A18.17,10000
016.70,A18.16,10000
016.70,A18.17,10000
016.70,A18.18,10000
016.71,A18.16,10000
016.71,A18.17,10000
016.71,A18.18,10000
016.72,A18.16,10000
016.72,A18.17,10000
016.72,A18.18,10000
016.73,A18.16,10000
016.73,A18.17,10000
016.73,A18.18,10000
016.74,A18.16,10000
016.74,A18.17,10000
016.74,A18.18,10000
016.75,A18.16,10000
016.75,A18.17,10000
016.75,A18.18,10000
016.76,A18.16,10000
016.76,A18.17,10000
016.76,A18.18,10000
016.90,A18.10,10000
016.91,A18.10,10000
016.92,A18.10,10000
016.93,A18.10,10000
016.94,A18.10,10000
016.95,A18.10,10000
016.96,A18.10,10000
017.00,A18.4,10000
017.01,A18.4,10000
017.02,A18.4,10000
017.03,A18.4,10000
017.04,A18.4,10000
017.05,A18.4,10000
017.06,A18.4,10000
017.10,A18.4,10000
017.11,A18.4,10000
017.12,A18.4,10000
017.13,A18.4,10000
017.14,A18.4,10000
017.15,A18.4,10000
017.16,A18.4,10000
017.20,A18.2,10000
017.21,A18.2,10000
017.22,A18.2,10000
017.23,A18.2,10000
017.24,A18.2,10000
017.25,A18.2,10000
017.26,A18.2,10000
017.30,A18.50,10000
017.30,A18.51,10000
017.30,A18.52,10000
017.30,A18.53,10000
017.30,A18.54,10000
017.30,A18.59,10000
017.31,A18.50,10000
017.31,A18.51,10000
017.31,A18.52,10000
017.31,A18.54,10000
017.31,A18.59,10000
017.32,A18.50,10000
017.32,A18.51,10000
017.32,A18.52,10000
017.32,A18.54,10000
017.32,A18.59,10000
017.33,A18.50,10000
017.33,A18.51,10000
017.33,A18.52,10000
017.33,A18.54,10000
017.33,A18.59,10000
017.34,A18.50,10000
017.34,A18.51,10000
017.34,A18.52,10000
017.34,A18.54,10000
017.34,A18.59,10000
017.35,A18.50,10000
017.35,A18.51,10000
017.35,A18.52,10000
017.35,A18.54,10000
017.35,A18.59,10000
017.36,A18.50,10000
017.36,A18.51,10000
017.36,A18.52,10000
017.36,A18.54,10000
017.36,A18.59,10000
017.40,A18.6,10000
017.41,A18.6,10000
017.42,A18.6,10000
017.43,A18.6,10000
017.44,A18.6,10000
017.45,A18.6,10000
017.46,A18.6,10000
017.50,A18.81,10000
017.51,A18.81,10000
017.52,A18.81,10000
017.53,A18.81,10000
017.54,A18.81,10000
017.55,A18.81,10000
017.56,A18.81,10000
017.60,A18.7,10000
017.61,A18.7,10000
017.62,A18.7,10000
017.63,A18.7,10000
017.64,A18.7,10000
017.65,A18.7,10000
017.66,A18.7,10000
017.70,A18.85,10000
017.71,A18.85,10000
017.72,A18.85,10000
017.73,A18.85,10000
017.74,A18.85,10000
017.75,A18.85,10000
017.76,A18.85,10000
017.80,A18.89,10000
017.81,A18.89,10000
017.82,A18.89,10000
017.83,A18.89,10000
017.84,A18.89,10000
017.85,A18.89,10000
017.86,A18.89,10000
017.90,A18.84,10000
017.91,A18.84,10000
017.91,A18.89,10000
017.92,A18.84,10000
017.92,A18.89,10000
017.93,A18.84,10000
017.93,A18.89,10000
017.94,A18.84,10000
017.94,A18.89,10000
017.95,A18.84,10000
017.95,A18.89,10000
017.96,A18.84,10000
017.96,A18.89,10000
018.00,A19.2,10000
018.01,A19.2,10000
018.02,A19.2,10000
018.03,A19.2,10000
018.04,A19.2,10000
018.05,A19.2,10000
018.06,A19.2,10000
018.80,A19.8,10000
018.81,A19.8,10000
018.82,A19.8,10000
018.83,A19.8,10000
018.84,A19.8,10000
018.85,A19.8,10000
018.86,A19.8,10000
